,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я, 
а,0.0,0.00153,0.003,0.00073,0.00167,0.00112,0.00119,0.00367,0.00015,0.00058,0.00421,0.00585,0.00304,0.00317,"0,00002",0.00044,0.00265,0.00446,0.00454,"0,00006","0,00002",0.00069,"0,00003",0.00055,0.00087,0.00024,0.0,0.0,"0,00002",0.00073,0.00166,0.01667
б,0.00053,"0,00002","0,00006",0.0,"0,00002",0.00382,0.0,0.0,0.00113,0.0,"0,00009",0.00096,"0,00005",0.00049,0.00214,0.0,0.00131,0.00037,0.0,0.00103,0.0,"0,00009",0.0,0.0,"0,00001",0.00039,0.00016,0.00459,0.0,0.0,0.00053,0.00028
в,0.00599,"0,00001","0,00003","0,00001",0.00026,0.00483,0.0,0.00032,0.00261,0.0,0.00019,0.00108,0.00019,0.00103,0.00622,0.00039,0.00062,0.00286,0.00022,0.00043,0.0,"0,00001",0.0,"0,00006",0.00056,0.0,0.00014,0.00253,0.0,0.0,0.00026,0.00547
г,0.00102,0.00017,0.0,0.0,0.00106,0.00011,0.0,0.0,0.00037,0.0,0.00014,0.00217,0.0,0.0001,0.00743,0.0,0.00032,"0,00009",0.0,0.00047,0.0,0.0,0.0,"0,00004",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049
д,0.00482,0.0,0.00057,"0,00002","0,00005",0.00441,0.00072,"0,00001",0.00248,0.0,0.00022,0.00077,"0,00004",0.00158,0.00518,0.0002,0.00109,0.00054,0.00011,0.00173,0.0,"0,00005",0.00015,"0,00003",0.0002,0.0,0.00059,0.00051,"0,00001","0,00003",0.00035,0.0007
е,"0,00001",0.00114,0.00106,0.0034,0.00364,0.00274,0.00088,0.00128,0.00013,0.00329,0.00104,0.00449,0.00479,0.00854,0.00032,0.00074,0.0068,0.00462,0.00649,0.00014,0.0,0.00056,0.00026,0.00113,0.0008,0.00059,0.0,0.0,"0,00002",0.00025,0.00017,0.0199
ж,0.00093,"0,00003",0.0,0.0,0.00111,0.00433,0.0,0.0,0.00116,0.0,"0,00007","0,00002",0.0,0.00102,"0,00007",0.0,0.0,"0,00001",0.0,0.00011,0.0,0.0,0.0,"0,00004",0.0,0.0,"0,00001",0.0,0.0,0.0,0.0,0.00022
з,0.00566,0.00016,0.00091,0.00041,0.00077,0.00032,"0,00009",0.00021,0.00064,0.0,0.00013,0.00024,0.0004,0.00177,0.0006,0.0,0.00026,0.0,"0,00001",0.00058,0.0,0.0,0.0,"0,00001",0.0,0.0,"0,00008",0.00043,0.0,0.0,0.00027,0.00122
и,"0,00007",0.0006,0.00229,0.00041,0.00127,0.0029,0.00013,0.00325,0.00076,0.00062,0.00147,0.00427,0.00292,0.00358,0.00011,0.0002,0.00045,0.00524,0.0044,0.0,0.0,0.00192,0.00063,0.00081,0.00063,0.0001,0.0,0.0,"0,00001",0.00042,0.0019,0.01671
й,0.0,0.0,"0,00001",0.0,0.00011,0.0,0.0,0.0,0.0,0.0,"0,00007","0,00002","0,00005",0.00093,"0,00002",0.0,0.0,0.0004,0.00031,0.0,0.0,0.0,0.0,0.00012,0.00019,0.0,0.0,0.0,"0,00001",0.0,0.0,0.00647
к,0.00543,0.0,"0,00004",0.0,0.0,0.00032,"0,00008",0.0,0.00159,0.0,0.0,0.0005,0.0,0.00039,0.00826,0.0,0.001,"0,00003",0.00037,0.00079,0.0,0.00036,0.0,0.0,"0,00002",0.0,0.0,0.0,0.00024,0.0,0.0,0.0037
