,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ь,ы,э,ю,я
а,"0,00007",0.00288,0.00522,0.00112,0.00311,0.00215,0.00149,0.00474,0.00122,0.00069,0.00601,0.00742,0.00467,0.00581,0.00163,0.00229,0.00351,0.00711,0.00609,0.00069,0.0001,0.00091,"0,00006",0.00134,0.0011,0.00029,0.0,0.0,0.00061,0.00087,0.00222
б,0.00063,"0,00003","0,00007",0.0,"0,00003",0.00456,0.0,"0,00001",0.00138,0.0,0.00011,0.00114,"0,00006",0.00059,0.00256,0.0,0.00157,0.00045,0.0,0.00127,0.0,0.0001,0.0,0.0,"0,00001",0.00046,0.00019,0.00546,0.00019,0.0,0.00063
в,0.00715,0.0002,0.0003,0.00032,0.00062,0.00605,"0,00004",0.00045,0.00329,0.0,0.00073,0.00161,0.00047,0.00172,0.00781,0.00099,0.00092,0.00425,0.00072,0.0006,0.0,0.00015,"0,00002",0.00024,0.00071,0.0,0.00017,0.00301,0.00033,"0,00001",0.00033
г,0.00122,0.00028,"0,00005",0.0,0.00131,0.00014,0.0,"0,00002",0.00047,0.0,0.00021,0.0026,"0,00003",0.00017,0.00889,"0,00005",0.00039,0.00015,"0,00001",0.00057,0.0,0.0,0.0,"0,00006",0.0,0.0,0.0,0.0,"0,00001",0.0,0.0
д,0.00574,"0,00003",0.00076,"0,00003",0.00011,0.00527,0.00086,"0,00004",0.003,0.0,0.00031,0.00093,0.0001,0.002,0.00621,0.00031,0.00131,0.00072,0.00016,0.00207,0.0,"0,00006",0.00018,"0,00006",0.00024,0.0,0.00071,0.00061,"0,00002","0,00004",0.00043
е,0.00012,0.00251,0.00347,0.00429,0.00547,0.00384,0.00141,0.00221,0.00121,0.00391,0.00213,0.00569,0.00735,0.01218,0.00233,0.00365,0.00867,0.00812,0.00848,0.00095,"0,00003",0.0009,0.00034,0.0021,0.00098,0.00071,0.0,0.0,0.00037,0.0003,0.00042
ж,0.00111,"0,00004","0,00002","0,00001",0.00132,0.00516,0.0,"0,00002",0.0014,0.0,"0,00009","0,00003","0,00002",0.00124,0.0001,"0,00001","0,00001","0,00003","0,00001",0.00014,0.0,"0,00001",0.0,"0,00005",0.0,0.0,"0,00001",0.0,"0,00001",0.0,"0,00002"
з,0.00673,0.00023,0.00123,0.00052,0.001,0.00044,0.00012,0.00028,0.00081,0.0,0.00025,0.00034,0.00053,0.00229,0.00081,0.00014,0.00034,0.00015,"0,00007",0.00072,0.0,"0,00002","0,00001","0,00004","0,00001",0.0,"0,00009",0.00051,"0,00003",0.0,0.00034
и,0.00022,0.00177,0.00484,0.00068,0.00243,0.00428,0.00026,0.00438,0.00201,0.00074,0.00286,0.00538,0.00451,0.00608,0.00186,0.00217,0.00095,0.00782,0.00599,0.00052,"0,00004",0.0025,0.00078,0.00146,0.0008,0.00012,0.0,0.0,0.00049,0.00051,0.00258
й,"0,00008",0.00028,0.00066,0.0001,0.00064,0.00014,0.00015,0.00013,0.00054,0.0,0.00046,0.00017,0.0005,0.0017,0.00059,0.00093,0.00027,0.00127,0.00057,0.00015,"0,00003",0.00012,"0,00003",0.00039,0.00028,0.0,0.0,0.0,0.00011,0.0,"0,00009"
