  ;0.00267467739198994
 а;0.0023453327877523728
 б;0.006636792782363098
 в;0.015319514166808053
 г;0.00457090390123654
 д;0.00610784538767852
 е;0.004131777762253116
 ж;0.0021856505553947644
 з;0.0036427509256579406
 и;0.010808491102705617
 к;0.008103873292148624
 л;0.00267467739198994
 м;0.005838381620575056
 н;0.013622890448008464
 о;0.011018074032674977
 п;0.015758640305791476
 р;0.004680685435982395
 с;0.015139871655405743
 т;0.00877254264014611
 у;0.003692651623269693
 ф;0.0005888282318186808
 х;0.001317378416950269
 ц;0.0004491062785057735
 ч;0.003572889949001487
 ш;0.00045908641802812404
 щ;4.990069761175261e-05
 ю;9.980139522350522e-06
 я;0.0012175770217267637
а ;0.015409335422509206
аа;3.992055808940209e-05
аб;0.0006387289294304334
ав;0.0036826714837473427
аг;0.000688629627042186
ад;0.0012375373007714647
ае;0.0008882324174891965
аж;0.0017066038583219392
аз;0.00401201608798491
аи;0.00023952334853641254
ай;0.0005489076737292787
ак;0.003922194832283755
ал;0.008183714408327429
ам;0.002524975299154682
ан;0.004950149203085859
ао;9.980139522350522e-05
ап;0.0010179742312797532
ар;0.0022255711134841665
ас;0.0038124132975378994
ат;0.004421201808401281
ау;0.0001397219533129073
аф;0.00041916585993872195
ах;0.0009680735336680007
ац;0.0002794439066258146
ач;0.0009780536731903511
аш;0.0008283515803550934
ащ;0.0002694637671034641
аю;0.0006287487899080829
ая;0.0028044192057804966
б ;0.0008483118593997944
ба;0.0009281529755785986
бб;7.984111617880418e-05
бв;0.0002694637671034641
бд;9.980139522350522e-06
бе;0.002534955438677033
бж;1.9960279044701044e-05
би;0.000688629627042186
бк;0.00024950348805876304
бл;0.0021457299973053623
бм;5.9880837134103136e-05
бн;0.00033932474375991775
бо;0.0028143993453028475
бр;0.0011177756265032584
бс;0.0002694637671034641
бт;0.0004790466970728251
бу;0.0010279543708021038
бх;5.9880837134103136e-05
бч;4.990069761175261e-05
бш;1.9960279044701044e-05
бщ;0.0003692651623269693
бь;4.990069761175261e-05
бя;0.0004091857204163714
в ;0.006427209852393737
ва;0.005369315063024581
вб;7.984111617880418e-05
вв;7.984111617880418e-05
вг;0.00019960279044701045
вд;0.0004790466970728251
ве;0.005998063852932664
вж;1.9960279044701044e-05
вз;0.00041916585993872195
ви;0.0030838631124063113
вй;0.00014970209283525783
вк;0.00010978153474585575
вл;0.0014171798121737742
вм;0.0003493048832822683
вн;0.0016766634397548878
во;0.008293495943073284
вп;0.00029940418567051566
вр;0.0008582919989221449
вс;0.00401201608798491
вт;0.0001397219533129073
ву;0.0009081926965338976
вх;0.0002694637671034641
вц;9.980139522350522e-06
вч;7.984111617880418e-05
вш;0.0009880338127127017
вщ;9.980139522350522e-06
вь;0.0001397219533129073
вя;0.00025948362758111356
г ;0.0006586892084751345
га;0.0009880338127127017
гв;7.984111617880418e-05
гд;0.000898212557011547
ге;0.0008483118593997944
ги;0.0010578947893691553
гк;5.9880837134103136e-05
гл;0.0011876366031597122
гм;9.980139522350522e-06
гн;0.00015968223235760835
го;0.009061966686294274
гр;0.0010578947893691553
гс;9.980139522350522e-06
гу;0.0004091857204163714
гч;9.980139522350522e-06
д ;0.001067874928891506
да;0.0036427509256579406
дб;1.9960279044701044e-05
дв;0.0006986097665645366
дд;3.992055808940209e-05
де;0.004660725156937694
дж;1.9960279044701044e-05
дз;9.980139522350522e-06
ди;0.002325372508707672
дй;3.992055808940209e-05
дк;0.00019960279044701045
дл;0.0008582919989221449
дм;0.00011976167426820627
дн;0.0017864449745007434
до;0.003303426181898023
дп;6.986097665645365e-05
др;0.001736544276888991
дс;0.0004491062785057735
дт;0.0002195630694917115
ду;0.0017465244164113413
дх;5.9880837134103136e-05
дц;0.00015968223235760835
дч;7.984111617880418e-05
дш;9.980139522350522e-05
дь;0.0003493048832822683
дю;7.984111617880418e-05
дя;0.00032934460423756723
е ;0.01848321839539317
еа;0.00020958292996936097
еб;0.0012874379983832175
ев;0.0014271599516961248
ег;0.002824379484825198
ед;0.0028742801824369504
ее;0.0016666833002325371
еж;0.0010279543708021038
ез;0.0013672791145620217
еи;0.0002195630694917115
ей;0.002505015020109981
ек;0.0011776564636373616
ел;0.005439176039681035
ем;0.003982075669417859
ен;0.009321450313875388
ео;0.0004890268365951756
еп;0.0008283515803550934
